,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,26.42,29.67,20.96,35.81,33.8,40.12,42.35,48.31,43.33
Expenses,24.93,28.79,20.28,34.42,32.34,37.5,39.97,46.26,40.67
Operating Profit,1.49,0.88,0.68,1.39,1.46,2.62,2.38,2.05,2.66
OPM %,5.64,2.97,3.24,3.88,4.32,6.53,5.62,4.24,6.14
Other Income,0.05,0.01,0.0,0.02,0.08,0.24,0.11,0.21,0.21
Interest,0.02,0.06,0.02,0.04,0.03,0.04,0.02,0.02,0.04
Depreciation,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.1,0.12
Profit before tax,1.44,0.75,0.58,1.29,1.43,2.73,2.39,2.14,2.71
Tax %,22.92,25.33,24.14,31.01,25.87,28.57,23.01,24.77,24.35
Net Profit,1.12,0.55,0.43,0.88,1.06,1.95,1.84,1.61,2.06
EPS in Rs,1.36,0.67,0.52,1.07,1.29,2.37,2.24,1.96,2.51
