,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12,12,12,13,13,13,13,13.0
Reserves,78,76,75,81,75,80,88,93.0
Preference Capital,0,0,0,0,0,5,6,
Borrowings,0,0,46,68,83,83,109,127.0
Other Liabilities,11,14,17,28,27,39,37,41.0
Total Liabilities,101,102,149,191,199,215,248,274.0
Fixed Assets,23,21,109,106,110,118,129,162.0
CWIP,1,0,0,0,0,1,1,0.0
Investments,29,2,1,5,4,8,30,31.0
Other Assets,49,79,39,79,85,88,88,81.0
Total Assets,101,102,149,191,199,215,248,274.0
