,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,44.0,58.0,36.0,61.0,62.0,106.0,83.0,113
Expenses,39.0,55.0,35.0,47.0,52.0,90.0,67.0,89
Operating Profit,5.0,3.0,1.0,14.0,9.0,16.0,16.0,23
OPM %,12.0,6.0,1.0,23.0,15.0,15.0,19.0,21
Other Income,3.0,4.0,4.0,3.0,2.0,1.0,2.0,2
Interest,0.0,1.0,0.0,8.0,8.0,8.0,10.0,11
Depreciation,2.0,3.0,2.0,6.0,5.0,5.0,6.0,7
Profit before tax,6.0,4.0,2.0,3.0,-2.0,4.0,2.0,8
Tax %,20.0,21.0,27.0,15.0,37.0,60.0,-63.0,
Net Profit,3.0,-0.0,0.0,2.0,-1.0,1.0,4.0,3
EPS in Rs,2.42,-0.12,0.09,1.43,-1.51,0.79,3.15,3.07
