,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,20.16,16.39,43.9,17.56,28.65,18.75,17.69,19.23,27.98,29.55,35.76
Expenses,18.08,13.51,39.34,14.85,22.67,16.0,13.46,14.9,23.44,22.22,28.62
Operating Profit,2.08,2.88,4.56,2.71,5.98,2.75,4.23,4.33,4.54,7.33,7.14
OPM %,10.32,17.57,10.39,15.43,20.87,14.67,23.91,22.52,16.23,24.81,19.97
Other Income,0.75,0.46,0.24,-0.06,0.62,0.97,0.41,0.42,0.3,0.5,0.48
Interest,2.3,1.79,2.34,2.22,1.93,1.9,2.39,2.68,2.59,2.57,3.05
Depreciation,1.17,1.31,1.46,1.28,1.27,1.41,1.48,1.53,1.64,1.74,1.71
Profit before tax,-0.64,0.24,1.0,-0.85,3.4,0.41,0.77,0.54,0.61,3.52,2.86
Tax %,120.31,-33.33,127.0,164.71,73.82,-36.59,-276.62,46.3,90.16,53.41,72.38
Net Profit,0.13,0.32,-0.27,0.54,0.89,0.55,2.89,0.29,0.65,1.64,0.8
EPS in Rs,-0.23,0.25,-0.83,1.72,0.02,-0.1,2.15,0.37,0.72,1.16,0.82
