,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.0,4.0,6.0,12.0,6.0,6.0,7.0,7.0,6.0,24.0,15.0,7.0,61
Expenses,1.0,2.0,4.0,2.0,3.0,4.0,3.0,5.0,14.0,2.0,3.0,3.0,6
Operating Profit,3.0,2.0,2.0,10.0,4.0,2.0,4.0,2.0,-8.0,21.0,13.0,3.0,55
OPM %,70.0,57.0,40.0,84.0,59.0,37.0,61.0,27.0,-151.0,90.0,84.0,51.0,90
Other Income,2.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0
Interest,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
Depreciation,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,4.0,3.0,5.0,12.0,5.0,1.0,4.0,1.0,-9.0,21.0,12.0,3.0,55
Tax %,26.0,14.0,19.0,17.0,3.0,39.0,7.0,51.0,29.0,25.0,23.0,23.0,
Net Profit,9.0,8.0,13.0,10.0,5.0,1.0,3.0,0.0,-6.0,16.0,10.0,2.0,40
EPS in Rs,4.89,4.53,7.69,5.72,2.82,0.39,1.98,0.22,-3.62,8.89,5.5,1.26,22.73
