,2023-03-01
Depreciation,0.28
EPS in Rs,1.78
Expenses,20.65
Interest,0.09
Net Profit,0.53
OPM %,3.64
Operating Profit,0.78
Other Income,0.26
Profit before tax,0.67
Sales,21.43
Tax %,19.4
