,2023-03-01,2023-09-01
Equity Capital,2.99,2.99
Reserves,7.46,7.63
Borrowings,0.5,1.85
Other Liabilities,0.62,1.04
Total Liabilities,11.57,13.51
Fixed Assets,0.6900000000000001,1.3
CWIP,0.0,0.0
Investments,2.99,2.92
Other Assets,7.89,9.29
Total Assets,11.57,13.51
