,Mar 2006,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,195,471.0,749.0,914.0,722.0,746.0,971.0,1169.0,1111
Expenses,178,415.0,654.0,800.0,638.0,656.0,889.0,1028.0,972
Operating Profit,17,56.0,95.0,113.0,84.0,90.0,82.0,141.0,139
OPM %,9,12.0,13.0,12.0,12.0,12.0,8.0,12.0,13
Other Income,7,7.0,20.0,17.0,11.0,10.0,8.0,8.0,85
Interest,5,4.0,24.0,29.0,33.0,23.0,26.0,33.0,40
Depreciation,9,26.0,39.0,42.0,43.0,43.0,52.0,82.0,69
Profit before tax,9,33.0,52.0,59.0,19.0,34.0,11.0,34.0,115
Tax %,40,38.0,34.0,39.0,56.0,15.0,110.0,32.0,
Net Profit,6,20.0,34.0,36.0,8.0,29.0,-1.0,23.0,101
EPS in Rs,,10.73,18.24,18.96,4.41,15.34,-0.59,12.31,53.68
