,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,40.0,59.0,66.0,105.0,140.0,108.0,172.0,112.0,36.0,2.0,0,1.0
Expenses,35.0,52.0,60.0,97.0,130.0,98.0,158.0,103.0,34.0,26.0,1,21.0
Operating Profit,5.0,7.0,6.0,8.0,10.0,10.0,13.0,8.0,1.0,-23.0,-1,-19.0
OPM %,13.0,12.0,10.0,8.0,7.0,9.0,8.0,8.0,3.0,-985.0,,-1550.0
Other Income,0.0,0.0,0.0,0.0,-0.0,2.0,0.0,0.0,2.0,0.0,1,0.0
Interest,2.0,3.0,4.0,5.0,6.0,6.0,7.0,7.0,2.0,0.0,0,0.0
Depreciation,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0
Profit before tax,3.0,4.0,2.0,3.0,3.0,4.0,6.0,1.0,0.0,-23.0,-1,-20.0
Tax %,23.0,26.0,31.0,14.0,36.0,26.0,31.0,32.0,3.0,-0.0,0,0.0
Net Profit,2.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,0.0,-23.0,-1,-20.0
EPS in Rs,3.8,4.86,1.63,2.77,2.24,3.03,3.95,0.9,0.28,-20.33,-0.64,-14.97
