,2015-03-01,2016-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16
Reserves,7.59,4.07,3.38,2.5,2.55,2.71,2.85,3.0,3.03
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,15.24,10.48,0.09,0.04,0.01,0.03,0.02,0.02,0.01
Total Liabilities,25.99,17.71,6.63,5.7,5.72,5.9,6.03,6.18,6.2
Fixed Assets,9.72,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,11.76,11.75,3.0,1.88,1.88,1.88,1.94,1.97,1.95
Other Assets,4.51,5.95,3.62,3.81,3.83,4.01,4.08,4.2,4.24
Total Assets,25.99,17.71,6.63,5.7,5.72,5.9,6.03,6.18,6.2
