,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,26.76,50.88,8.11,52.02,56.1,51.92,40.18,35.27,47.74,64.87,49.61,30.98
Expenses,25.86,49.12,8.79,49.41,52.48,49.88,37.86,33.14,44.62,62.02,44.47,27.33
Operating Profit,0.9,1.76,-0.68,2.61,3.62,2.04,2.32,2.13,3.12,2.85,5.14,3.65
OPM %,3.36,3.46,-8.38,5.02,6.45,3.93,5.77,6.04,6.54,4.39,10.36,11.78
Other Income,0.0,0.11,0.3,0.0,0.01,0.04,0.51,0.05,0.14,1.38,0.95,0.22
Interest,0.38,0.41,0.31,0.36,0.44,0.51,0.3,0.57,0.62,0.78,1.16,1.4
Depreciation,0.19,0.2,0.19,0.19,0.13,0.2,0.2,0.03,0.31,0.86,0.35,0.33
Profit before tax,0.33,1.26,-0.88,2.06,3.06,1.37,2.33,1.58,2.33,2.59,4.58,2.14
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,0.33,1.26,-0.88,2.06,3.05,1.37,2.34,1.58,2.33,2.59,4.58,2.14
EPS in Rs,0.02,0.06,-0.04,0.1,0.14,0.06,0.11,0.07,0.11,0.12,0.22,0.1
