,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,28.86,20.37,16.76,26.87,37.68,31.57,31.85
Expenses,25.97,19.49,12.01,26.23,35.97,31.47,29.09
Operating Profit,2.89,0.88,4.75,0.64,1.71,0.1,2.76
OPM %,10.01,4.32,28.34,2.38,4.54,0.32,8.67
Other Income,10.32,0.08,0.48,0.08,0.46,0.1,0.38
Interest,1.06,0.73,1.04,1.36,1.1,0.97,1.46
Depreciation,2.95,2.37,2.26,4.32,4.38,2.55,2.6
Profit before tax,9.2,-2.14,1.93,-4.96,-3.31,-3.32,-0.92
Tax %,-10.33,-2.8,88.6,-1.41,-2.11,-4.52,-16.3
Net Profit,10.14,-2.2,0.22,-5.03,-3.38,-3.47,-1.07
EPS in Rs,5.28,-1.15,0.11,-2.62,-1.76,-1.81,-0.56
