,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.56,0.5,0.89,1.03,1.5,1.63,2.19,1.42,0.99
Expenses,0.25,0.37,0.57,0.51,0.98,0.84,1.78,1.02,0.25
Operating Profit,0.31,0.13,0.32,0.52,0.52,0.79,0.41,0.4,0.74
OPM %,55.36,26.0,35.96,50.49,34.67,48.47,18.72,28.17,74.75
Other Income,0.05,0.09,0.09,0.09,0.0,0.03,0.47,0.25,0.23
Interest,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.15,0.18,0.15,0.1,0.1,0.12,0.11,0.1,0.11
Profit before tax,0.2,0.03,0.26,0.51,0.42,0.7,0.77,0.55,0.86
Tax %,25.0,-66.67,-15.38,23.53,19.05,-2.86,10.39,9.09,25.58
Net Profit,0.15,0.05,0.3,0.39,0.34,0.72,0.68,0.49,0.64
EPS in Rs,0.19,0.06,0.38,0.5,0.42,0.9,0.85,0.62,0.81
