,2023-09-01
Depreciation,0.31
EPS in Rs,4.71
Expenses,40.52
Interest,0.52
Net Profit,5.68
OPM %,16.44
Operating Profit,7.97
Other Income,0.39
Profit before tax,7.53
Sales,48.49
Tax %,24.7
