,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.01,3.01,5.0,8.75,12.07
Reserves,-2.37,-4.22,-3.41,2.19,21.43
Borrowings,8.27,13.38,9.4,12.09,14.3
Other Liabilities,0.25,0.75,4.46,11.84,10.42
Total Liabilities,9.16,12.92,15.45,34.87,58.22
Fixed Assets,5.51,6.14,4.5,3.94,4.27
CWIP,0.03,0.0,1.41,5.07,8.34
Investments,0.0,0.0,0.0,0.25,0.26
Other Assets,3.62,6.78,9.54,25.61,45.35
Total Assets,9.16,12.92,15.45,34.87,58.22
