,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0.96,9.41,18.61,72.3
Expenses,2.41,8.83,15.51,58.48
Operating Profit,-1.45,0.58,3.1,13.82
OPM %,-151.04,6.16,16.66,19.11
Other Income,0.02,0.3,0.11,0.11
Interest,0.33,0.75,0.55,0.91
Depreciation,0.48,0.81,0.95,1.26
Profit before tax,-2.24,-0.68,1.71,11.76
Tax %,0.45,0.0,12.28,20.58
Net Profit,-2.24,-0.67,1.51,9.34
EPS in Rs,-8.97,-2.68,3.02,10.67
