,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,46.07,43.78,40.64,40.64,41.02,44.16,44.16,45.92,45.92,45.92,46.24,47.05
FIIs,9.32,14.14,19.98,20.11,20.21,19.34,19.86,19.3,19.59,20.11,19.92,17.01
DIIs,18.93,17.07,18.19,18.36,17.23,16.19,14.51,13.5,13.46,13.32,14.18,14.2
Public,25.68,25.01,21.19,20.89,21.54,20.31,21.47,21.27,21.02,20.64,19.65,21.73
No. of Shareholders,3865.0,3569.0,5521.0,4302.0,5460.0,5627.0,8390.0,10075.0,8714.0,8998.0,11377.0,21416.0
