,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,41,41,41,41,41,41,41,42,42,44,45,45.0
Reserves,401,452,489,479,523,573,624,724,777,962,1118,1203.0
Preference Capital,2,2,2,0,0,0,0,0,0,0,0,
Borrowings,387,432,410,569,754,1079,1157,1237,1322,1676,2117,2224.0
Other Liabilities,459,192,183,277,289,350,354,246,130,76,74,125.0
Total Liabilities,1287,1116,1122,1366,1606,2042,2175,2249,2270,2758,3354,3596.0
Fixed Assets,3,3,3,3,3,7,9,66,64,64,66,67.0
CWIP,0,0,0,0,0,0,0,0,0,0,0,0.0
Investments,73,52,32,27,25,24,24,24,24,26,25,75.0
Other Assets,1212,1061,1087,1336,1578,2012,2142,2159,2182,2668,3262,3455.0
Total Assets,1287,1116,1122,1366,1606,2042,2175,2249,2270,2758,3354,3596.0
