,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,61.79,61.81,62.75,63.81,63.73,63.73,63.73,63.73
DIIs,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0
Public,38.2,38.18,37.24,36.18,36.26,36.26,36.26,36.26
No. of Shareholders,1996.0,1959.0,1925.0,1874.0,1834.0,1799.0,1761.0,1742.0
