,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,26,26,26,26,26,26,29,30,30.0
Reserves,160,180,195,208,229,274,442,621,680.0
Preference Capital,0,0,0,0,45,45,0,0,
Borrowings,225,292,345,311,272,201,305,484,458.0
Other Liabilities,856,790,739,753,932,1052,942,986,1989.0
Total Liabilities,1268,1289,1305,1299,1459,1554,1717,2121,3156.0
Fixed Assets,135,178,222,216,240,233,264,355,366.0
CWIP,33,15,10,11,3,4,17,106,309.0
Investments,25,0,11,12,13,14,1,3,4.0
Other Assets,1074,1096,1062,1060,1203,1302,1435,1656,2477.0
Total Assets,1268,1289,1305,1299,1459,1554,1717,2121,3156.0
