,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3631.0,4288.0,5060.0,4545.0,5586.0,8371.0,10384.0,10740.0,11971
Expenses,3578.0,4204.0,4953.0,4427.0,5466.0,8230.0,10159.0,10458.0,11675
Operating Profit,53.0,84.0,107.0,118.0,120.0,141.0,225.0,282.0,296
OPM %,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2
Other Income,17.0,21.0,11.0,10.0,13.0,17.0,17.0,17.0,25
Interest,40.0,53.0,70.0,84.0,84.0,62.0,56.0,95.0,118
Depreciation,15.0,21.0,28.0,30.0,23.0,30.0,29.0,29.0,29
Profit before tax,15.0,31.0,20.0,14.0,26.0,66.0,156.0,175.0,173
Tax %,36.0,35.0,23.0,23.0,27.0,32.0,21.0,24.0,
Net Profit,9.0,20.0,15.0,11.0,19.0,45.0,123.0,132.0,132
EPS in Rs,0.69,1.47,1.14,0.8,1.41,3.29,8.33,8.97,8.98
