,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,25.98,30.02,37.49,36.11,42.97,44.04,53.7,51.79,43.05,58.72,69.87,49.37,34.02
Expenses,21.82,26.39,33.78,36.19,40.36,42.43,51.53,47.07,49.8,46.44,59.8,44.18,31.81
Operating Profit,4.16,3.63,3.71,-0.08,2.61,1.61,2.17,4.72,-6.75,12.28,10.07,5.19,2.21
OPM %,16.01,12.09,9.9,-0.22,6.07,3.66,4.04,9.11,-15.68,20.91,14.41,10.51,6.50
Other Income,0.12,-1.26,-1.18,1.29,0.68,2.02,1.07,2.73,2.86,0.46,1.95,1.49,0.50
Interest,0.15,0.51,1.16,0.66,0.06,0.1,0.1,0.13,0.12,0.1,0.11,0.13,0.00
Depreciation,1.75,2.12,2.07,1.81,1.8,1.81,1.79,1.82,1.83,1.52,1.81,1.74,1.62
Profit before tax,2.38,-0.26,-0.7,-1.26,1.43,1.72,1.35,5.5,-5.84,11.12,10.1,4.81,1.09
Tax %,61.34,-442.31,-155.71,-63.49,39.16,20.35,14.81,2.18,-0.17,-0.09,0.1,63.62,
Net Profit,0.92,-1.41,-1.79,-2.06,0.86,1.37,1.15,5.39,-5.85,11.13,10.08,1.76,-1.97
EPS in Rs,1.22,-0.57,-1.04,-1.65,0.69,1.1,0.92,4.32,-4.69,8.93,8.08,1.41,-1.57
