,2022-03-01,2023-03-01,2023-09-01
Equity Capital,15,17,17
Reserves,4,25,31
Borrowings,19,4,5
Other Liabilities,3,7,5
Total Liabilities,41,53,58
Fixed Assets,19,22,29
CWIP,2,8,5
Investments,2,0,0
Other Assets,19,23,23
Total Assets,41,53,58
