,2012-12-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01
Cash from Operating Activity,-136,-704,-284,262,197,632,-302,-1837,-155
Cash from Investing Activity,-81,-61,-50,-170,-70,-455,-774,-4420,-66
Cash from Financing Activity,236,750,320,-11,-88,-130,1106,6139,166
Net Cash Flow,19,-15,-14,81,39,47,30,-118,-55
