,2022-09-01,2023-09-01
Sales,13.42,8.57
Expenses,8.84,4.7
Operating Profit,4.58,3.87
OPM %,34.13,45.16
Other Income,0.03,0.24
Interest,0.25,0.59
Depreciation,0.34,0.38
Profit before tax,4.02,3.14
Tax %,27.61,27.39
Net Profit,2.9,2.29
EPS in Rs,5.37,1.01
