,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,0.0,0.0,0.0,0.0,11.0,47.0,39
Expenses,4.0,4.0,5.0,6.0,6.0,5.0,12.0,45.0,33
Operating Profit,-4.0,-4.0,-5.0,-5.0,-6.0,-5.0,-1.0,2.0,5
OPM %,-1323.0,-1390.0,-1587.0,-1716.0,-1774.0,-1577.0,-12.0,4.0,14
Other Income,12.0,6.0,6.0,8.0,5.0,31.0,20.0,12.0,14
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
Profit before tax,8.0,2.0,1.0,3.0,-1.0,26.0,18.0,11.0,14
Tax %,3.0,18.0,19.0,8.0,0.0,0.0,4.0,25.0,
Net Profit,7.0,2.0,1.0,3.0,-1.0,26.0,18.0,8.0,12
EPS in Rs,1.99,0.46,0.31,0.68,-0.14,5.98,3.57,1.35,1.83
