,2011-03-01,2012-03-01,2013-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,5,5,11,15,15,15,15,15,15
Reserves,0,0,0,0,1,23,51,56,62,68,77,82
Borrowings,0,0,0,8,11,38,46,67,77,77,84,88
Other Liabilities,0,0,0,2,8,35,31,22,34,56,64,64
Total Liabilities,0,0,0,15,25,108,143,159,188,216,239,249
Fixed Assets,0,0,0,2,6,50,45,45,70,80,75,76
CWIP,0,0,0,9,14,0,6,20,1,3,7,12
Investments,0,0,0,0,0,4,9,10,14,15,16,15
Other Assets,0,0,0,5,5,54,83,84,103,117,141,146
Total Assets,0,0,0,15,25,108,143,159,188,216,239,249
