,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,68.64,68.64,68.91,71.45,71.45,74.88
FIIs,0.0,0.0,0.0,0.0,0.0,0.56
DIIs,0.0,0.0,0.0,0.0,0.07,0.0
Public,31.38,31.37,31.09,28.55,28.48,24.56
No. of Shareholders,121.0,116.0,101.0,104.0,170.0,272.0
