,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,30,30
Reserves,52,66,62,75
Borrowings,60,64,96,102
Other Liabilities,8,20,19,28
Total Liabilities,124,154,207,235
Fixed Assets,17,16,25,27
CWIP,0,1,1,0
Investments,0,0,0,0
Other Assets,107,138,181,208
Total Assets,124,154,207,235
