,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,1255,30,24,24,36,32,37,35,39
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,,1255,30,24,24,36,32,37,35,39
Working Capital Days,,-1768,1,-9,-22,-94,54,-5,-30,1
ROCE %,,1,13,12,17,10,11,11,10,10
