,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,1090,1100,1100,1100,1100,1100,1100,1100,1115,1115
Reserves,0,-7,1572,1847,4957,6943,7399,7819,8813,10547,10782
Borrowings,0,9701,8585,8975,10428,20137,24246,27095,29902,34270,36031
Other Liabilities,0,708,489,890,781,4379,6966,7219,7650,7999,7802
Total Liabilities,0,11492,11746,12811,17265,32558,39711,43234,47464,53932,55730
Fixed Assets,0,10573,10060,9853,9291,24412,24924,26987,30272,32645,36422
CWIP,0,10,258,1343,2353,694,2212,5255,5060,6200,4134
Investments,0,0,20,105,0,336,313,442,561,1370,821
Other Assets,0,909,1407,1510,5621,7117,12262,10550,11572,13716,14353
Total Assets,0,11492,11746,12811,17265,32558,39711,43234,47464,53932,55730
