,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,17.99,18.53,20.83,18.4,15.27,15.41,16.58,19.71,21.17,22.68,26.7,37.88,35.67
Expenses,18.62,16.27,17.27,16.8,13.97,13.76,14.78,18.55,18.33,19.57,24.49,32.32,30.45
Operating Profit,-0.63,2.26,3.56,1.6,1.3,1.65,1.8,1.16,2.84,3.11,2.21,5.56,5.22
OPM %,-3.5,12.2,17.09,8.7,8.51,10.71,10.86,5.89,13.42,13.71,8.28,14.68,14.63
Other Income,2.98,0.24,0.14,0.31,0.25,0.44,7.74,1.04,1.15,0.99,1.04,2.3,1.24
Interest,0.82,0.76,0.64,0.53,0.57,0.39,0.17,0.08,0.06,0.09,0.09,0.25,0.29
Depreciation,0.89,0.92,0.92,0.5,0.56,0.56,0.32,0.05,0.03,0.05,0.12,0.13,0.17
Profit before tax,0.64,0.82,2.14,0.88,0.42,1.14,9.05,2.07,3.9,3.96,3.04,7.48,6.00
Tax %,31.25,41.46,34.11,34.09,45.24,59.65,28.07,29.95,23.59,25.76,28.62,25.27,
Net Profit,0.44,0.48,1.41,0.58,0.24,0.46,6.52,1.45,2.99,2.94,2.17,5.59,4.51
EPS in Rs,1.38,1.51,4.44,1.82,0.76,1.45,20.51,4.56,9.41,9.25,6.83,17.59,14.18
