,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.53,33.05,25.41,18.1,13.79,13.61,14.85,9.97,9.93,9.41,8.83,9.19,8.72
Expenses,7.35,7.58,7.5,9.0,7.57,7.48,8.94,3.77,1.8,4.01,5.76,1.97,1.26
Operating Profit,19.18,25.47,17.91,9.1,6.22,6.13,5.91,6.2,8.13,5.4,3.07,7.22,7.46
OPM %,72.3,77.07,70.48,50.28,45.11,45.04,39.8,62.19,81.87,57.39,34.77,78.56,85.55
Other Income,-0.18,-0.25,-0.91,-0.25,0.37,0.17,0.23,-4.05,-3.5,-0.37,0.09,0.69,0.39
Interest,9.92,11.43,8.61,7.07,5.78,4.77,4.14,2.25,2.28,1.3,1.01,1.12,1.31
Depreciation,1.21,1.2,1.21,0.38,0.4,0.36,0.35,0.26,0.19,0.18,0.16,0.14,0.07
Profit before tax,7.87,12.59,7.18,1.4,0.41,1.17,1.65,-0.36,2.16,3.55,1.99,6.65,6.47
Tax %,34.56,34.39,28.83,30.71,36.59,25.64,6.67,-36.11,14.81,23.1,-22.11,24.66,
Net Profit,5.15,8.27,5.1,0.97,0.25,0.86,1.55,-0.5,1.84,2.73,2.43,5.02,5.24
EPS in Rs,6.87,11.03,6.8,1.29,0.33,1.15,2.07,-0.67,2.45,3.64,3.24,6.69,6.98
