,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,15.64,15.57,9.39,16.13,18.47,14.46,20.42,13.97,15.99,13.78,14.24,12.79
Expenses,15.31,20.94,9.07,16.07,17.63,48.83,17.7,17.95,15.51,50.86,12.89,13.1
Operating Profit,0.33,-5.37,0.32,0.06,0.84,-34.37,2.72,-3.98,0.48,-37.08,1.35,-0.31
OPM %,2.11,-34.49,3.41,0.37,4.55,-237.69,13.32,-28.49,3.0,-269.09,9.48,-2.42
Other Income,0.0,5.77,0.0,0.0,0.0,22.84,0.0,4.21,0.0,67.59,0.0,1.08
Interest,6.27,3.04,4.81,5.46,2.12,1.9,2.46,1.53,2.4,2.02,1.34,1.15
Depreciation,4.35,5.64,4.27,3.26,3.95,5.38,3.47,3.47,3.48,2.4,3.23,3.23
Profit before tax,-10.29,-8.28,-8.76,-8.66,-5.23,-18.81,-3.21,-4.77,-5.4,26.09,-3.22,-3.61
Tax %,-9.91,-0.48,-9.02,-7.27,-8.99,-1.91,-17.45,-11.74,-10.19,-6.17,-13.66,-12.19
Net Profit,-11.31,-8.32,-9.55,-9.3,-5.7,-19.17,-3.77,-5.34,-5.94,27.69,-3.65,-4.05
EPS in Rs,-0.69,-0.51,-0.58,-0.57,-0.35,-1.17,-0.23,-0.33,-0.36,1.69,-0.22,-0.25
