,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7,41,62,69
Reserves,-7,36,229,360
Borrowings,7,203,306,454
Other Liabilities,5,100,290,525
Total Liabilities,12,380,887,1408
Fixed Assets,4,255,734,1174
CWIP,2,0,3,0
Investments,0,0,0,13
Other Assets,6,125,150,221
Total Assets,12,380,887,1408
