,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.0,75.0,161.0,264
Expenses,10.0,114.0,233.0,286
Operating Profit,-8.0,-39.0,-72.0,-23
OPM %,-300.0,-52.0,-44.0,-9
Other Income,0.0,1.0,38.0,40
Interest,0.0,9.0,11.0,26
Depreciation,1.0,14.0,45.0,58
Profit before tax,-8.0,-61.0,-89.0,-67
Tax %,0.0,4.0,11.0,
Net Profit,-8.0,-58.0,-79.0,-59
EPS in Rs,-11.83,-14.2,-12.86,-9.62
