,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.72,4.87,10.6,30.48,29.12,28.19,36.88,47.88,48.41,68.9,98.37
Expenses,6.11,9.44,21.28,41.79,42.16,41.96,53.54,69.09,69.0,64.84,83.52
Operating Profit,-4.39,-4.57,-10.68,-11.31,-13.04,-13.77,-16.66,-21.21,-20.59,4.06,14.85
OPM %,-255.23,-93.84,-100.75,-37.11,-44.78,-48.85,-45.17,-44.3,-42.53,5.89,15.1
Other Income,0.0,0.0,0.2,0.07,0.29,0.44,1.89,35.84,0.39,1.58,1.9
Interest,0.03,0.03,1.34,3.56,3.41,1.79,1.31,2.05,5.15,8.45,10.31
Depreciation,0.63,0.55,1.51,5.92,5.85,6.14,6.47,15.18,17.67,18.96,6.17
Profit before tax,-5.05,-5.15,-13.33,-20.72,-22.01,-21.26,-22.55,-2.6,-43.02,-21.77,0.27
Tax %,0.2,0.19,1.5,6.95,4.86,5.6,6.3,125.38,10.11,11.21,666.67
Net Profit,-5.05,-5.14,-13.13,-19.28,-20.94,-20.07,-21.13,0.66,-38.68,-19.33,-1.53
EPS in Rs,-7.21,-7.34,-3.49,-4.74,-5.09,-3.6,-3.79,0.11,-6.28,-3.14,-0.31
