,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,8.0,6,4,1,0,0,0,0,0
Inventory Days,1.0,1,1,0,0,1,1,0,1
Days Payable,7.0,5,3,1,0,0,0,0,0
Cash Conversion Cycle,2.0,2,2,1,0,1,1,1,1
Working Capital Days,2.0,3,2,5,13,20,47,33,36
ROCE %,,23,11,80,6,10,10,12,11
