,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-12-01
Promoters,72.71,72.71,72.71,72.71,72.71,72.71,72.71,72.71,74.66
Public,27.29,27.29,27.29,27.29,27.29,27.29,27.29,27.3,25.34
No. of Shareholders,499.0,659.0,988.0,1199.0,1367.0,1485.0,1899.0,2484.0,3152.0
