,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,108,21,18,-276,13,-83,-69,-38,-154
Cash from Investing Activity,-22,-16,1,241,-25,73,23,6,0
Cash from Financing Activity,-76,-2,-5,2,-6,13,42,41,155
Net Cash Flow,11,2,14,-34,-18,4,-4,9,2
