,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,1,1,1,1,1,1,1
Reserves,117,138,148,363,366,392,426,466,510,538
Borrowings,21,24,18,22,17,33,80,132,307,442
Other Liabilities,59,56,60,87,21,29,29,51,72,74
Total Liabilities,198,218,228,473,405,455,535,649,890,1055
Fixed Assets,44,54,50,76,76,64,63,63,67,70
CWIP,2,1,1,0,0,0,1,0,1,0
Investments,0,5,9,123,99,55,37,30,24,23
Other Assets,152,158,167,274,231,336,434,555,799,962
Total Assets,198,218,228,473,405,455,535,649,890,1055
