,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2165.0,2466.0,2891.0,4553.0,4928.0,5405.0,3041.0,5367.0,7012.0,7091
Expenses,2138.0,2433.0,2881.0,4529.0,4901.0,5363.0,2991.0,5300.0,6929.0,6993
Operating Profit,27.0,32.0,10.0,25.0,27.0,42.0,51.0,68.0,83.0,98
OPM %,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1
Other Income,3.0,5.0,11.0,201.0,2.0,-0.0,1.0,1.0,1.0,4
Interest,4.0,3.0,2.0,2.0,1.0,2.0,5.0,11.0,20.0,31
Depreciation,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5
Profit before tax,24.0,31.0,16.0,220.0,24.0,36.0,44.0,54.0,60.0,67
Tax %,35.0,35.0,23.0,3.0,8.0,26.0,23.0,26.0,26.0,
Net Profit,15.0,20.0,13.0,214.0,22.0,26.0,33.0,40.0,44.0,49
EPS in Rs,49.29,65.71,41.35,688.58,71.23,85.06,107.9,129.58,141.97,157.68
