,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,5.55,7.11,9.38,12.77,18.73,27.24
Expenses,5.18,6.73,9.26,11.3,16.52,21.15
Operating Profit,0.37,0.38,0.12,1.47,2.21,6.09
OPM %,6.67,5.34,1.28,11.51,11.8,22.36
Other Income,0.01,0.03,0.14,0.11,0.06,0.07
Interest,0.03,0.0,0.04,0.09,0.14,0.21
Depreciation,0.29,0.35,0.22,0.68,0.97,2.33
Profit before tax,0.06,0.06,0.00,0.81,1.16,3.62
Tax %,33.33,50.0,,0.0,37.07,24.03
Net Profit,0.04,0.03,-0.06,0.81,0.74,2.75
EPS in Rs,0.4,0.3,-0.39,3.2,2.92,3.62
