,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.0,1.0,1.53,1.53,1.53,7.6,10.32
Reserves,0.3,0.34,3.06,3.87,5.16,3.29,47.4
Borrowings,0.0,0.23,0.0,0.0,0.0,1.39,1.56
Other Liabilities,0.21,0.61,2.13,2.2,2.9,4.74,4.02
Total Liabilities,1.51,2.18,6.72,7.6,9.59,17.02,63.3
Fixed Assets,0.72,0.43,0.99,3.25,3.71,4.68,6.17
CWIP,0.0,0.0,0.0,0.0,0.0,0.99,0.0
Investments,0.0,0.0,0.0,0.07,0.05,0.05,0.09
Other Assets,0.79,1.75,5.73,4.28,5.83,11.3,57.04
Total Assets,1.51,2.18,6.72,7.6,9.59,17.02,63.3
