,2022-09-01,2023-09-01
Sales,10.91,15.88
Expenses,10.6,12.8
Operating Profit,0.31,3.08
OPM %,2.84,19.4
Other Income,0.07,0.31
Interest,0.1,0.15
Depreciation,1.12,1.01
Profit before tax,-0.84,2.23
Tax %,35.71,40.36
Net Profit,-0.54,1.34
EPS in Rs,-2.13,1.3
