,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,47.01,47.01,48.96,53.81,58.77,63.68,0.48,0.48,0.48
Public,52.99,52.99,51.04,46.19,41.23,36.32,99.52,99.53,99.53
No. of Shareholders,4273.0,4256.0,4193.0,4172.0,4169.0,4163.0,12199.0,10622.0,9939.0
