,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.67,0.33,0.27,4.05,2.7,2.29
Expenses,0.66,0.32,0.26,4.08,2.97,2.55
Operating Profit,0.01,0.01,0.01,-0.03,-0.27,-0.26
OPM %,1.49,3.03,3.7,-0.74,-10.0,-11.35
Other Income,-0.0,0.01,-0.0,0.14,0.59,0.68
Interest,-0.0,-0.0,-0.0,-0.0,-0.0,0.00
Depreciation,-0.0,-0.0,-0.0,0.01,0.01,0.00
Profit before tax,0.01,0.02,0.01,0.1,0.31,0.42
Tax %,300.0,-0.0,-0.0,60.0,25.81,
Net Profit,-0.01,0.01,0.01,0.04,0.23,0.25
EPS in Rs,-0.25,0.25,0.25,0.04,0.16,0.18
