,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.36,10.76,17.69,18.38,23.13,19.94,24.04,27.96,49.92,39.2,50.37,63.87
Expenses,5.99,9.03,17.3,15.73,18.34,16.14,21.46,25.3,47.55,37.59,51.8,67.87
Operating Profit,1.37,1.73,0.39,2.65,4.79,3.8,2.58,2.66,2.37,1.61,-1.43,-4.00
OPM %,18.61,16.08,2.2,14.42,20.71,19.06,10.73,9.51,4.75,4.11,-2.84,-6.26
Other Income,0.14,0.05,0.28,0.51,0.39,0.9,0.48,0.65,1.23,0.46,0.36,2.09
Interest,0.25,0.26,0.59,0.88,1.09,1.75,1.54,2.13,1.65,1.81,1.81,1.40
Depreciation,0.85,0.86,0.79,0.81,0.73,0.92,0.75,0.73,0.55,0.41,0.33,0.48
Profit before tax,0.41,0.66,-0.71,1.47,3.36,2.03,0.77,0.45,1.4,-0.15,-3.21,-3.79
Tax %,102.44,140.91,32.39,33.33,22.32,32.02,37.66,68.89,102.86,-120.0,-3.43,
Net Profit,-0.01,-0.27,-0.48,0.98,2.61,1.38,0.48,0.14,-0.04,-0.33,-3.32,-3.10
EPS in Rs,-0.25,-6.75,-12.0,24.5,65.25,0.32,0.11,0.03,-0.01,-0.08,-0.77,-0.72
