,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.1,0.1,0.1,0.1,0.1,10.83,10.83,10.83,10.83,21.65,21.65,21.65
Reserves,7.96,7.69,7.01,7.99,10.2,13.15,13.63,13.66,14.59,4.51,2.06,-2.24
Borrowings,2.25,2.17,4.64,6.19,10.7,10.84,10.65,16.63,12.32,14.42,14.34,14.58
Other Liabilities,5.62,6.24,10.0,7.43,10.29,14.44,19.98,28.99,27.45,21.18,12.6,14.77
Total Liabilities,15.93,16.2,21.75,21.71,31.29,49.26,55.09,70.11,65.19,61.76,50.65,48.76
Fixed Assets,8.31,7.72,7.05,6.73,7.08,6.47,5.74,6.01,4.76,4.35,4.24,4.7
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0
Investments,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.92,0.0,0.0
Other Assets,7.48,8.43,14.7,14.98,24.21,42.79,49.35,64.1,60.55,58.33,43.36,44.06
Total Assets,15.93,16.2,21.75,21.71,31.29,49.26,55.09,70.11,65.19,61.76,50.65,48.76
