,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,55.16,55.16,55.16,55.16,55.16,55.16,55.16
Public,44.84,44.84,44.84,44.84,44.84,44.85,44.84
No. of Shareholders,245.0,230.0,188.0,164.0,13573.0,12064.0,11949.0
