,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.25,0.25,0.25,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21
Reserves,0.3,0.33,0.37,1.11,1.14,1.14,1.09,1.09,-2.61,-2.59,-2.5700000000000003,-5.11
Preference Capital,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.03,0.03,4.06,3.27
Other Liabilities,0.1,0.1,0.02,0.33,0.44,0.31,0.31,0.31,3.26,16.83,19.75,18.53
Total Liabilities,0.65,0.68,0.64,3.65,3.79,3.66,3.61,4.29,2.89,16.48,23.45,19.2
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.03,0.03,0.03,0.64,0.64,0.64,0.13,1.08,0.28,3.68,3.68,4.16
Other Assets,0.62,0.65,0.61,3.01,3.15,3.02,3.48,3.21,2.61,12.8,19.77,15.04
Total Assets,0.65,0.68,0.64,3.65,3.79,3.66,3.61,4.29,2.89,16.48,23.45,19.2
