,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,0,-2.31,-0.06,-0.58,0.08,-0.52,-0.23,3.17,-3.53
Cash from Investing Activity,,,0,-0.61,0.0,0.0,0.5,-0.94,0.79,-3.39,0.0
Cash from Financing Activity,,,0,3.0,0.0,0.5700000000000001,-0.6000000000000001,1.47,-0.52,0.2,3.5
Net Cash Flow,,,0,0.09,-0.06,-0.01,-0.02,0.01,0.04,-0.02,-0.03
