,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.05,0.29,2.64,0.65,0.00,0.0,13.97,19.81,21.88,21.06
Expenses,0.01,0.01,0.08,0.32,2.65,0.66,0.05,0.08,17.67,19.8,21.87,21.24
Operating Profit,-0.01,-0.01,-0.03,-0.03,-0.01,-0.01,-0.05,-0.08,-3.7,0.01,0.01,-0.18
OPM %,,,-60.0,-10.34,-0.38,-1.54,,,-26.49,0.05,0.05,-0.85
Other Income,0.04,0.04,0.04,0.04,0.04,0.03,0.06,0.08,0.0,0.01,0.01,-2.36
Interest,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.0,0.0,0.0,0.0,0.00
Depreciation,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.03,0.03,0.01,0.01,0.03,0.01,0.01,0.0,-3.7,0.02,0.02,-2.54
Tax %,33.33,33.33,0.0,0.0,0.0,0.0,0.00,,0.0,0.0,0.0,
Net Profit,0.02,0.02,0.01,0.01,0.03,0.0,0.01,0.0,-3.7,0.02,0.02,-2.53
EPS in Rs,0.81,0.81,0.41,0.05,0.14,0.0,0.05,0.0,-16.73,0.09,0.09,-11.44
