,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.97,2.97,16.92,16.92
Reserves,-0.01,0.84,15.34,16.47
Borrowings,0.54,19.54,7.47,13.25
Other Liabilities,3.85,7.78,19.69,18.59
Total Liabilities,7.35,31.13,59.42,65.23
Fixed Assets,0.0,0.0,0.0,0.02
CWIP,0.0,0.0,0.0,0.0
Investments,0.0,0.11,0.65,0.64
Other Assets,7.35,31.02,58.77,64.57
Total Assets,7.35,31.13,59.42,65.23
