,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,122.0,145.0,144.0,145.0,241.0,269.0
Expenses,112.0,121.0,126.0,124.0,194.0,215.0
Operating Profit,10.0,24.0,18.0,21.0,47.0,54.0
OPM %,8.0,16.0,13.0,15.0,20.0,20.0
Other Income,0.0,0.0,1.0,0.0,1.0,-3.0
Interest,6.0,15.0,12.0,9.0,7.0,5.0
Depreciation,4.0,4.0,4.0,4.0,4.0,5.0
Profit before tax,0.0,5.0,4.0,8.0,37.0,41.0
Tax %,0.0,-42.0,-32.0,25.0,25.0,27.0
Net Profit,0.0,7.0,5.0,6.0,28.0,30.0
EPS in Rs,0.09,3.1,2.06,2.63,12.06,2.64
