,2010-03-01,2011-03-01,2012-03-01,2017-03-01,2018-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15
Reserves,1.4,1.52,1.36,1.17,1.17,,-0.06,-0.06,0.17,
Borrowings,2.03,0.0,0.0,0.0,0.0,,0.0,0.35,0.36,
Other Liabilities,7.06,8.47,6.8,1.08,1.43,,1.49,2.16,0.45,
Total Liabilities,13.64,13.14,11.31,5.4,5.75,,4.58,5.6,4.13,
Fixed Assets,0.54,0.48,0.44,0.08,0.07,,0.05,0.08,0.08,
CWIP,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Investments,1.31,1.31,1.31,1.23,1.45,,0.91,0.91,0.11,
Other Assets,11.79,11.35,9.56,4.09,4.23,,3.62,4.61,3.94,
Total Assets,13.64,13.14,11.31,5.4,5.75,,4.58,5.6,4.13,
