,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,108,126.0,147.0,186.0,175.0,178.0,220.0,229.0,303.0,327.0,424.0,474.0
Expenses,95,110.0,133.0,175.0,162.0,158.0,192.0,197.0,254.0,276.0,355.0,414.0
Operating Profit,13,16.0,14.0,11.0,13.0,20.0,27.0,31.0,49.0,50.0,69.0,60.0
OPM %,12,13.0,9.0,6.0,7.0,11.0,12.0,14.0,16.0,15.0,16.0,13.0
Other Income,5,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0
Interest,4,4.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,3.0,5.0
Depreciation,2,3.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,9.0,11.0,12.0
Profit before tax,13,12.0,6.0,0.0,1.0,9.0,17.0,22.0,38.0,41.0,56.0,46.0
Tax %,30,34.0,79.0,1240.0,149.0,34.0,23.0,31.0,21.0,27.0,24.0,24.0
Net Profit,9,8.0,1.0,-2.0,-1.0,6.0,13.0,15.0,30.0,29.0,43.0,35.0
EPS in Rs,,7.49,3.04,-0.22,0.2,5.59,10.73,12.97,24.17,25.19,35.31,30.3
