,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.02,0.02,0.02,0.03,0.01,0.69,0.00,0.3,0.35,0.08,0.26,1.5,1.48
Expenses,0.01,0.01,0.02,0.02,0.01,0.07,0.24,0.19,0.52,0.1,0.1,0.36,0.38
Operating Profit,0.01,0.01,0.00,0.01,0.00,0.62,-0.24,0.11,-0.17,-0.02,0.16,1.14,1.10
OPM %,50.0,50.0,0.00,33.33,0.00,89.86,,36.67,-48.57,-25.0,61.54,76.0,74.32
Other Income,0.0,0.0,0.00,-0.01,0.00,0.0,0.94,0.0,0.0,-0.07,0.02,0.01,0.50
Interest,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.01,0.01,0.00,0.00,0.00,0.62,0.70,0.11,-0.17,-0.09,0.18,1.15,1.60
Tax %,0.0,0.0,,,,20.97,31.43,27.27,0.0,0.0,22.22,26.09,
Net Profit,0.0,0.0,0.00,0.00,0.00,0.49,0.48,0.08,-0.17,-0.09,0.14,0.85,1.30
EPS in Rs,0.0,0.0,0.00,0.00,0.00,1.63,1.60,0.27,-0.57,-0.3,0.47,0.83,1.28
