,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,491,491,491,491,491,491,491,491,491,491
Reserves,990,1199,1334,1495,1720,1412,1650,1589,2051,1707
Borrowings,7645,6124,4135,3061,6464,8103,1892,3172,3992,1203
Other Liabilities,4332,4207,4223,4582,5231,4561,4382,5244,6002,7136
Total Liabilities,13458,12019,10182,9628,13905,14565,8414,10496,12535,10537
Fixed Assets,4443,4259,4059,4080,3993,3726,3615,4230,3969,3971
CWIP,39,33,51,64,133,656,862,138,178,186
Investments,0,23,152,217,265,323,416,257,259,308
Other Assets,8975,7705,5921,5268,9513,9861,3520,5870,8130,6073
Total Assets,13458,12019,10182,9628,13905,14565,8414,10496,12535,10537
