,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2908.0,2656.0,2758.0,2525.0,2459.0,2106.0,2043.0,4038.0,4085.0,3799
Expenses,2867.0,2629.0,2635.0,2464.0,2479.0,2128.0,1950.0,3734.0,4041.0,3811
Operating Profit,41.0,27.0,122.0,61.0,-20.0,-22.0,93.0,304.0,44.0,-12
OPM %,1.0,1.0,4.0,2.0,-1.0,-1.0,5.0,8.0,1.0,-0
Other Income,202.0,136.0,5.0,-24.0,55.0,20.0,10.0,9.0,22.0,7
Interest,45.0,50.0,43.0,54.0,91.0,92.0,66.0,62.0,60.0,91
Depreciation,158.0,143.0,117.0,78.0,79.0,86.0,34.0,31.0,31.0,33
Profit before tax,40.0,-31.0,-33.0,-94.0,-135.0,-180.0,3.0,219.0,-25.0,-130
Tax %,-1.0,56.0,38.0,140.0,40.0,-75.0,-3245.0,-23.0,1.0,
Net Profit,40.0,-14.0,-21.0,38.0,-81.0,-317.0,113.0,269.0,-25.0,-128
EPS in Rs,2.65,-0.89,-1.36,2.48,-5.36,-12.12,4.34,10.3,-0.94,-4.91
