,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,152,152,152,152,152,261,261,261,261,261
Reserves,456,436,397,450,350,-39,72,339,312,248
Borrowings,713,658,517,321,307,471,395,354,890,806
Other Liabilities,866,823,820,1006,799,790,983,1152,1250,1480
Total Liabilities,2187,2069,1886,1929,1608,1483,1711,2105,2713,2795
Fixed Assets,1176,1270,1134,935,898,703,691,702,783,1033
CWIP,206,3,6,16,11,7,9,35,324,253
Investments,10,4,16,1,1,0,0,0,0,0
Other Assets,795,791,730,977,698,773,1012,1368,1605,1509
Total Assets,2187,2069,1886,1929,1608,1483,1711,2105,2713,2795
