,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,0,0,0,0,0,2,12,12,12,12,12,12
Reserves,101,146,176,188,216,236,508,550,596,611,613,665
Preference Capital,1,1,1,1,1,0,0,0,0,0,0,0
Borrowings,0,42,50,45,54,80,7,18,73,57,80,60
Other Liabilities,22,34,53,66,71,98,136,246,239,205,203,176
Total Liabilities,123,222,280,299,341,416,663,826,921,886,907,912
Fixed Assets,63,125,143,158,168,205,268,526,588,558,550,581
CWIP,3,3,15,24,30,52,2,7,20,21,14,15
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,56,94,122,117,143,159,392,293,313,307,343,316
Total Assets,123,222,280,299,341,416,663,826,921,886,907,912
