,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,23.29,37.81,20.19,7.86,18.53,29.82,26.31
Expenses,21.45,35.54,19.44,7.57,16.73,26.2,24.22
Operating Profit,1.84,2.27,0.75,0.29,1.8,3.62,2.09
OPM %,7.9,6.0,3.71,3.69,9.71,12.14,7.94
Other Income,0.11,0.13,0.15,0.18,0.09,-0.7,0.31
Interest,0.11,0.13,0.21,0.2,0.29,0.07,0.04
Depreciation,0.14,0.12,0.15,0.14,0.14,0.2,0.21
Profit before tax,1.7,2.15,0.54,0.13,1.46,2.65,2.15
Tax %,29.41,26.98,25.93,30.77,25.34,25.28,
Net Profit,1.2,1.57,0.39,0.1,1.09,1.98,1.61
EPS in Rs,3.45,4.52,1.12,0.29,3.14,3.83,3.11
