,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.47,3.47,3.47,3.47,3.47,5.17,5.17
Reserves,1.71,3.28,3.68,3.78,4.87,9.65,10.16
Borrowings,1.56,2.18,1.83,1.23,0.41,0.28,0.22
Other Liabilities,7.03,4.21,4.3,3.45,4.6,4.03,4.03
Total Liabilities,13.77,13.14,13.28,11.93,13.35,19.13,19.58
Fixed Assets,0.34,1.48,1.43,1.32,1.34,1.42,1.33
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,13.43,11.66,11.85,10.61,12.01,17.71,18.25
Total Assets,13.77,13.14,13.28,11.93,13.35,19.13,19.58
